entity	raw_type	final_type	type_source	notes
A1BG	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
A2M	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
A2ML1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
A4GALT	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AAAS	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AADAT	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AAGAB	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AAK1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AANAT	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AARS1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AATK	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABAT	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABCA1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABCA10	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCA12	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCA13	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCA3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCA4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCA5	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCA6	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCA7	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCA8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCA9	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCB1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABCB10	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCB11	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABCB4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCB5	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCB6	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCB8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCC1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABCC13	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCC2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABCC3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCC4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCC5	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCC6	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCC8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABCC9	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
